#,rtl-power-fftw,output,,,
#,Acquisition,start:,2025-03-22,20:03:18,UTC
#,Acquisition,end:,2025-03-22,20:03:28,UTC
#,,,,,
frequency,power,,,,
441500000,-48.0283,,,,
441503910,-48.034,,,,
441507810,-47.9264,,,,
441511720,-47.6821,,,,
441515620,-48.0833,,,,
441519530,-48.2167,,,,
441523440,-47.7978,,,,
441527340,-47.6695,,,,
441531250,-47.6105,,,,
441535160,-47.1759,,,,
441539060,-46.737,,,,
441542970,-47.8379,,,,
441546880,-45.9063,,,,
441550780,-46.696,,,,
441554690,-47.0764,,,,
441558590,-47.2077,,,,
441562500,-47.2595,,,,
441566410,-47.3123,,,,
441570310,-47.254,,,,
441574220,-47.2231,,,,
441578120,-47.1453,,,,
441582030,-46.9633,,,,
441585940,-46.6603,,,,
441589840,-46.4426,,,,
441593750,-45.9732,,,,
441597660,-45.3112,,,,
441601560,-44.4729,,,,
441605470,-45.8318,,,,
441609380,-43.2326,,,,
441613280,-44.2203,,,,
441617190,-44.7099,,,,
441621090,-45.1279,,,,
441625000,-45.2193,,,,
441628910,-45.3292,,,,
441632810,-45.3187,,,,
441636720,-45.3206,,,,
441640620,-45.1406,,,,
441644530,-44.9337,,,,
441648440,-44.5204,,,,
441652340,-44.2469,,,,
441656250,-43.6986,,,,
441660160,-42.7221,,,,
441664060,-42.4054,,,,
441667970,-46.259,,,,
441671880,-45.2778,,,,
441675780,-45.6626,,,,
441679690,-46.0567,,,,
441683590,-46.2487,,,,
441687500,-46.4155,,,,
441691410,-46.3977,,,,
441695310,-46.3537,,,,
441699220,-46.2263,,,,
441703120,-46.2476,,,,
441707030,-46.0266,,,,
441710940,-45.0366,,,,
441714840,-45.1091,,,,
441718750,-45.2672,,,,
441722660,-45.0669,,,,
441726560,-44.6696,,,,
441730470,-46.5964,,,,
441734380,-47.0287,,,,
441738280,-47.1424,,,,
441742190,-47.2328,,,,
441746090,-47.2143,,,,
441750000,-47.2027,,,,
441753910,-47.0577,,,,
441757810,-46.7335,,,,
441761720,-46.2094,,,,
441765620,-47.418,,,,
441769530,-47.3927,,,,
441773440,-46.1559,,,,
441777340,-46.5242,,,,
441781250,-46.8547,,,,
441785160,-46.9463,,,,
441789060,-46.9402,,,,
441792970,-47.0042,,,,
441796880,-46.9788,,,,
441800780,-47.1928,,,,
441804690,-47.4377,,,,
441808590,-47.4296,,,,
441812500,-47.4405,,,,
441816410,-47.3613,,,,
441820310,-47.1135,,,,
441824220,-46.4965,,,,
441828120,-47.5285,,,,
441832030,-46.2538,,,,
441835940,-45.1634,,,,
441839840,-45.3819,,,,
441843750,-45.5982,,,,
441847660,-45.5695,,,,
441851560,-45.4536,,,,
441855470,-45.2418,,,,
441859380,-44.789,,,,
441863280,-45.4041,,,,
441867190,-46.2981,,,,
441871090,-46.5138,,,,
441875000,-46.5633,,,,
441878910,-46.5507,,,,
441882810,-46.4378,,,,
441886720,-46.1169,,,,
441890620,-46.0791,,,,
441894530,-43.4222,,,,
441898440,-41.4239,,,,
441902340,-41.7862,,,,
441906250,-42.0609,,,,
441910160,-42.0529,,,,
441914060,-41.7491,,,,
441917970,-41.4307,,,,
441921880,-40.6756,,,,
441925780,-41.2991,,,,
441929690,-43.5526,,,,
441933590,-44.132,,,,
441937500,-44.15,,,,
441941410,-44.272,,,,
441945310,-44.5734,,,,
441949220,-44.4562,,,,
441953120,-43.6344,,,,
441957030,-40.3581,,,,
441960940,-35.5493,,,,
441964840,-36.6034,,,,
441968750,-37.0784,,,,
441972660,-37.2934,,,,
441976560,-37.0861,,,,
441980470,-36.7544,,,,
441984380,-35.8563,,,,
441988280,-35.5406,,,,
441992190,-40.8369,,,,
441996090,-41.7125,,,,
442000000,-40.7542,,,,
442003910,-42.0759,,,,
442007810,-42.5364,,,,
442011720,-42.1774,,,,
442015620,-40.5427,,,,
442019530,-36.8201,,,,
442023440,-28.8036,,,,
442027340,-30.4094,,,,
442031250,-30.9583,,,,
442035160,-31.3637,,,,
442039060,-31.3695,,,,
442042970,-31.0088,,,,
442046880,-30.0105,,,,
442050780,-28.8157,,,,
442054690,-40.3097,,,,
442058590,-42.074,,,,
442062500,-42.5499,,,,
442066410,-42.506,,,,
442070310,-42.0374,,,,
442074220,-41.8311,,,,
442078120,-41.006,,,,
442082030,-38.562,,,,
442085940,-33.6531,,,,
442089840,-34.9817,,,,
442093750,-35.4689,,,,
442097660,-35.8059,,,,
442101560,-35.9204,,,,
442105470,-35.637,,,,
442109380,-34.772,,,,
442113280,-34.0901,,,,
442117190,-42.1118,,,,
442121090,-43.4413,,,,
442125000,-43.6793,,,,
442128910,-43.5599,,,,
442132810,-43.3283,,,,
442136720,-43.4106,,,,
442140620,-43.3809,,,,
442144530,-43.2158,,,,
442148440,-42.3852,,,,
442152340,-42.5441,,,,
442156250,-42.6023,,,,
442160160,-42.6313,,,,
442164060,-42.8565,,,,
442167970,-42.947,,,,
442171880,-42.8967,,,,
442175780,-42.6725,,,,
442179690,-43.7212,,,,
442183590,-43.8455,,,,
442187500,-43.811,,,,
442191410,-43.7541,,,,
442195310,-43.669,,,,
442199220,-43.6242,,,,
442203120,-43.5443,,,,
442207030,-43.4181,,,,
442210940,-43.29,,,,
442214840,-43.1964,,,,
442218750,-43.1291,,,,
442222660,-43.0322,,,,
442226560,-42.9633,,,,
442230470,-42.9109,,,,
442234380,-42.7798,,,,
442238280,-42.6661,,,,
442242190,-42.6597,,,,
442246090,-42.4136,,,,
442250000,-42.3256,,,,
442253910,-42.3322,,,,
442257810,-42.3045,,,,
442261720,-42.2113,,,,
442265620,-42.0925,,,,
442269530,-41.9408,,,,
442273440,-41.7919,,,,
